買超券商,買進,賣出,買超,賣超券商,買進,賣出,賣超
元大證券 ,1065 ,10 ,+1055 ,元富 ,0 ,96 ,-96 
台灣摩根士丹利 ,79 ,19 ,+60 ,港商野村 ,92 ,141 ,-49 
摩根大通 ,152 ,112 ,+40 ,國泰-高雄 ,9 ,47 ,-38 
美林 ,165 ,126 ,+39 ,凱基 ,2 ,36 ,-34 
香港上海匯豐 ,30 ,0 ,+30 ,台新證券 ,6 ,39 ,-33 
凱基-台南 ,28 ,0 ,+28 ,土銀 ,1 ,31 ,-30 
新加坡商瑞銀 ,33 ,7 ,+26 ,美商高盛 ,0 ,29 ,-29 
元大-大天母 ,30 ,4 ,+26 ,統一-敦南 ,0 ,28 ,-28 
群益金鼎 ,29 ,7 ,+22 ,富邦-民生 ,1 ,28 ,-27 
合庫證券 ,16 ,0 ,+16 ,玉山證券 ,5 ,29 ,-24 
兆豐-埔墘 ,15 ,1 ,+14 ,日盛-雙和 ,1 ,23 ,-22 
永豐金-桃盛 ,20 ,7 ,+13 ,大慶-富順 ,0 ,22 ,-22 
宏遠證券 ,12 ,0 ,+12 ,群益金鼎-宜蘭 ,0 ,22 ,-22 
富邦-新竹華信 ,28 ,16 ,+12 ,元大-南京 ,2 ,24 ,-22 
元大-文心興安 ,18 ,7 ,+11 ,國泰證券 ,41 ,62 ,-21 
