買超券商,買進,賣出,買超,賣超券商,買進,賣出,賣超
富邦-仁愛 ,66 ,0 ,+66 ,凱基-台北 ,35 ,107 ,-72 
摩根大通 ,94 ,32 ,+62 ,永豐金-萬盛 ,4 ,35 ,-31 
元富 ,46 ,0 ,+46 ,凱基-台南 ,1 ,28 ,-27 
群益金鼎-竹南 ,45 ,1 ,+44 ,美林 ,49 ,73 ,-24 
群益金鼎-大安 ,27 ,1 ,+26 ,元大-雙和 ,0 ,24 ,-24 
元富-文心 ,21 ,0 ,+21 ,港商麥格理 ,0 ,20 ,-20 
永豐金-信義 ,21 ,0 ,+21 ,統一-城中 ,0 ,20 ,-20 
群益金鼎-台北 ,20 ,0 ,+20 ,元富-中壢 ,0 ,18 ,-18 
國票-中港 ,22 ,6 ,+16 ,美商高盛 ,12 ,29 ,-17 
統一-中壢 ,15 ,0 ,+15 ,康和 ,1 ,17 ,-16 
新光-桃園 ,16 ,1 ,+15 ,日盛-木柵 ,1 ,14 ,-13 
統一-三重 ,20 ,6 ,+14 ,台灣企銀-台南 ,3 ,15 ,-12 
第一金-路竹 ,23 ,10 ,+13 ,港商野村 ,20 ,32 ,-12 
統一-新竹 ,23 ,10 ,+13 ,台灣摩根士丹利 ,3 ,14 ,-11 
統一-桃園 ,15 ,2 ,+13 ,統一-松江 ,0 ,11 ,-11 
