買超券商,買進,賣出,買超,賣超券商,買進,賣出,賣超
日盛證券 ,217 ,16 ,+201 ,瑞士信貸 ,74 ,344 ,-270 
新加坡商瑞銀 ,156 ,10 ,+146 ,元大證券 ,14 ,247 ,-233 
港商野村 ,162 ,70 ,+92 ,台灣摩根士丹利 ,79 ,273 ,-194 
統一-新竹 ,75 ,5 ,+70 ,美林 ,126 ,254 ,-128 
群益金鼎-竹南 ,61 ,3 ,+58 ,凱基-信義 ,2 ,102 ,-100 
花旗環球 ,57 ,16 ,+41 ,統一 ,9 ,101 ,-92 
元大-東港 ,40 ,0 ,+40 ,臺銀-民權 ,17 ,67 ,-50 
元大-永春 ,36 ,4 ,+32 ,永豐金-中壢 ,1 ,47 ,-46 
國票-中港 ,32 ,1 ,+31 ,群益金鼎-大甲 ,2 ,42 ,-40 
凱基-台北 ,243 ,212 ,+31 ,中國信託 ,8 ,40 ,-32 
土銀 ,29 ,0 ,+29 ,彰銀-台中 ,0 ,31 ,-31 
新光 ,60 ,33 ,+27 ,群益金鼎-松山 ,0 ,31 ,-31 
元大-雙和 ,33 ,7 ,+26 ,凱基-高雄 ,2 ,32 ,-30 
富邦-民生 ,35 ,10 ,+25 ,凱基-台南 ,14 ,43 ,-29 
永豐金-古亭 ,25 ,0 ,+25 ,永豐金-竹科 ,27 ,56 ,-29 
